,Reviews,Time
1, The NICEST security staff and by far the absolute FASTEST baggage claim staff to be found anywhere! Your bags are making the rounds before you even make it down to them. Always such a pleasure to come home.,Before
2," Its a LOOOng strip of stores and yummy food places which include Amy's ice cream that I did not have time to try downtown so I did at the airport and they were so so good. There even is a life band which is just too cool for school. If you get stuck there, you will be fine.",Before
3," This is reguarding the parking only!! This is the only thing I hope gets changed in the future. I have flown out 5 times this month on different days and times. Each time has been a parking nightmare! For some reason each time I have been there all lots have been full and I have had to park in the cargo lot. Ok, if in fact that the lots were actually full. I arrived for my flight on Wednesday afternoon 4 hours early and yes cargo lot again. I took that extra time to quick walk through the garage and wow just on the first level there were 100 spots open, I just didnt count anymore after all the other levels. When I asked about why, the ABIA official said that the last walkthrough said nothing was open and that was 4 hours prior. I know they have built a new parking garage, but found out that is for rental cars. I really hope they get this parking thing sorted out. Until then I guess I will UBER.",Before
4," This is a good airport. Its laid out in such a way that it's easy to get around. The rental car facility is on site with no bus ride like at DFW. Traffic gets a little dicey on 71 going in and out of the airport. But it's usually not too bad. I'm surprised that even this airport doesn't have a Whataburger. Folks, this is Texas...",Before
5," The WhyIf you can help it, don't make the mistake of departing on a late flight, or arrive too early. The businesses in Bergstrom seem to run on bankers hours. Save for a gross misrepresentation of Salt Lick BBQ in the form of a ""Taco Stand"" there isn't much open after 8:00pm. If you can't help your arrival/departure times, grab a bite to eat before you get to ABIA. There are no vending machines!The GoodThere are a nice collection of automated retailers that sell makeup, electronics. The restrooms are always clean.The terminals are laid out in a semi-circle horseshoe pattern and they do a good job logistically of reducing the usage of the entire terminal after hours.",Before
6, I have to say I really like AUS airport. It is big enough but also small enough to not have to break your leg if you have to run and catch a flight. I LOVE that there is a Salt Lick in here so I can get my fix before I go home! I also like the short and sweet designated TSA line. Not too shabby - and it literally took me less than,Before
7," I love that for the most part ABIA keeps it local when it comes to restaurants, bars, shops and live music. But without doubt ABIA could use some improvements.ABIA is one of the few airports I enjoy enough to arrive early. As you walk by the carousels there are gorgeous Austin themed guitars welcoming you. You can catch live music at many of the bars and restaurants. As soon as you make your way up the elevator you can hear music coming from Ray Bensons place. The gift shops carry many novelty items and t-shirts with sayings like ""Have a Willie Nice Day"" and ""Keep Austin Weird"". Although it is not local I do like to enjoy a glass of wine at Vino Volo which carries Austin Winery wines.The cell phone lot is a new improvement. If you are picking someone up from the airport you have a place to chill in your car versus driving in circles.What can be approved upon:- Restaurants opening early and staying open late. Come on this is an international airport. - The free WiFi should not be limited to 30 minutes (or is it an hour?).- Parking. During the summer months they often have people park in the overflow parking with no stall numbers etc. It doesn't seem that ABIA can meet the demands of its customers when it comes to parking.Overall I love our city's airports and all its quirkiness that makes Austin what it is.",Before
8," For a smaller airport this was pretty great, definitely a fan, lots of food to have, they have a United Club which is great also.  That's always a big plus for me.  It's not extravagant with a bunch of shopping but good food, and all of your basic necessities, and easy to get around.",Before
9," Very clean and efficiency is outstanding. Staff was polite from TSA, airline and food court. No complaints.",Before
10," ABIA, I was skeptical when you came along. I liked the old airport - it was so cozy and convenient and austiny. I liked the way things were. I didn't want to grow up - I still don't. But I have to admit that you've turned out to be just fine and I really appreciate the local representation in your food and music offerings. Dare I say you're pretty cool for a big city airport. But.For.the.love.of.GAWD.and….austin...Would you PLEASE give the people free wifi? Not from boingo, and not free for half an hour. I'm talking 24/7 free. We embraced you, now return the favor and be cool and bust out the free wifi. MAKE US PROUD.Love,Veek",Before
